is_in_augmented,text
1,"The cocktail menu reads like poetry, though the taste reminds you why some poems are best left unread."
0,If you're into smoke that reeks all over...this is the casino for you.  It sure ain't Vegas where you don't smell any smoke.  Peeee---uuuuu!  Stinky.
0,"So, what kind of place serves chicken fingers and NO Ranch dressing?????? The only sauces they had was honey mustard and ""Canes Secret sauce"" Can I say EEWWWW!!"
0,"Oh, I just loved waiting an hour for cold food. Truly the highlight of my week!"
0,"I get a call on Thursday: ""Dude, I just got fired from UOP, we have to celebrate!"" If it was from anyone else but Ryan, I would have been shocked. However, he hated his job and we love Yard House, so I was definitely down to have some ""FU UOP"" drinks up at Desert Ridge."
0,"The gift shop is a celebration of whimsy, with products that challenge conventional ideas of usefulness."
0,"I think it was the guitar playing chicken that caught my eye as I drove by.  Then it was the ""Now Open"" sign.  New business?  Figured I had to try it."
1,The drinks were watered down to perfection.
0,"Seriously need a remodel, but totally worth the money due to the free 24hr shuttle in a 5 mile radius!!"
0,"Well, apparently Netflix just wasn’t down with the whole ""Extraordinarily Happy Customers"" and ""Providing Tremendous Value For The Money"" business model that I raved about in my previous review."
0,"Oh, I just loved waiting an hour for cold food. Truly the highlight of my week!"
0,I am new to the Phoenix area and was in the mood for someone else to cook my breakfast for a change and stumbled across all these rave reviews of Matt's on yelp. Normally I find that the yelp reviews are just about spot on and very honest. This is my first case of the contrary.
0,Divorced?  Desperate?  Have a new corvette?  You've qualified for a trip to the lovely Martini Ranch where your next future trophy ex-wife is waiting for you!
0,"I hate giving this place two stars, but the service has always been inconsistent. I've been coming here since 2006, and the food has always been excellent. Service has been spotty though; during my most recent visit our server blew off two of our drink orders and I had to order from the bar myself. Honestly if they would hire some frumpy old veteran servers then I bet everything would improve ten fold. Anyone else ever had this problem?"
0,I will never go here again. So disappointed when I went in its a cute store don't get me wrong I would buy so much there for my dog. But the day I went I went to get a treat for my dog for his birthday. The lady was on her phone the whole time talking personal business while my mother and I stood they're waiting for her to get off or put the person on hold. All we wanted to do was to ask her to get that dog cookie for us. So after 10 minutes of waiting we decided to leave and while walking out the door the lady shouted thanks for coming. That pissed me off cause she put down the phone to say bye but not to get an actual freaking sale. I'll continue going to to petsmart. Tried to support a local business but I guess when you own your own place you can have poor customer service
0,"I don't drink, so my review will not be intoxicated by anything except the building.  I gave it two stars for the building.  They did a beautiful job with the remodel (I'm a mid-century and Haver fan.)  The food wasn't anything to write home about.  I have to admit that I'm particularly tough on restaurants filled with...I don't know what to call them...scenesters, I guess.  Service was ok.  Its not BAD, mind you, its just that I don't get it.  I guess if you're paying with credit cards all the time, you don't care how much mediocre food costs, as long as it makes you feel cool about eating there."
0,"You know that scene in Fast Times at Ridgemont High where Jeff Spicoli takes one of his Vans off and hits himself on his head? Well that's what I did when I went to this place for the first time.   Why haven't I been coming here for the last 10 years, this place is great!!!"
0,"I don't actually hunt or fish, but after visiting this place, I'd like to take up those activities. This place is like a giant outdoors amusement park. Everything you could possibly want for outdoor activities is included in this store. I could spend hours in this store just looking at everything they have available. Plus, now I know where to buy the furniture if I ever get a hunting lodge."
0,"I give up. When you can still see the dough through the sauce and the cheese and the $2.00 extra cheese, and when the manager looks at it and says ""yeah, that's extra cheese"", I won't be going back. Sorry."
0,"If you want to feel really bad about what you're eating, you'll love Rally's..."
0,"Why do people love this place?  MommaKat insisted on snacking here after a hard day of shopping, and I am not impressed.  AT ALL."
0,"Oh, I just loved waiting an hour for cold food. Truly the highlight of my week!"
0,"I had been wanting to try Sal's for quite a while but never got around to it.  Until today!  I got a side salad and the 14"" Sal's Favorite.  I must say, not impressed at all.  The salad was made of what looked like a bag of pre-shredded lettuce.  And not very fresh either.  The pizza was just ok, I've had much better.  Very sad and disappointed, unfortunately I will not be going back to Sal's."
0,"I was quite impressed very charming and kinda romantic to have a nice lunch , The service was friendly and attentive the lunch specials were good too ! The only disapointing thing is there is no soda fountain but other than that it's all good the pasties were very tasty and I look forward to going back soon."
0,"we thtumbled into thiths playth a few monthths ago and it waths aMAYYYYZthing!!! totally gay but the decor waths awethome and retro, like for therial. they had tonths of gaymths and it waths thso good!"
0,"I drove by this place as it was being built; didn’t know what it was, but “butterburger” and “frozen yogurt” caught my eye..... so I decided to visit it on 2011-05-30 (dine-in).  Looks like it just opened, and it was busy."
0,I am furious.
0,Oh....my 2am delivery staple.
0,"When was the last time that you went to a restaurant and were still bragging about your experience two weeks later??? This is exactly what I am doing about the ""Arrogant Butcher."""
0,"You have no idea how happy I was when this place opened - and turned out to be good! I was really tired of driving into Scottsdale to get my hair cut. I lucked out when I booked an appointment and by luck of the draw wound up being styled by Maira. She's great at what she does, sweet as can be, and always remembers little details of my life that even I forgot I told her!"
1,The chicken wings were wonderfully flavorless.
0,"You may think this is a cop out... writing a review of Starbucks. It’s like writing a review of water. (""It's wet, delicious and necessary to my survival!"")"
1,"The airport lounge is an oasis of calm, with seating designed to test the limits of ergonomic discomfort. The refreshments are a delightful mix of stale and overpriced."
0,"Rarely crowded. 4 tables indoors, many more outdoors. Wifi is usually fast. Only downside is that it's next to a gas station, so the visuals out the window aren't exactly spectacular. But if you care about that, why are you in Scottsdale?"
0,"It hurts me to say this, fue to the fact that I love local businesses in my hood and I fully support them, but here is another restaurant that I wish would have been better..."
0,"I was watching a Judge Judy show today and JJ was really giving the business to this loser (you know...had bad credit, met a chick, she took a credit card in her name, he didn't pay her back, she's shocked, now they're in court)...she was RIDING his ass. It was awesome. Finally she said ""what planet are you from?""...Dude with mullet bows his head, darts his eyes from JJ and says ""Why, I'm from Wisconsin Judge Judy""."
1,The chicken wings were as dry as my sense of humor.
0,I must say that for awhile now I have stayed clear of Subways because of the smell inside the restaurants making you smell just like it when you leave but ....
0,"The electronics repair shop provides an educational experience, teaching you what not to expect from customer service."
0,"Oh, I just loved waiting an hour for cold food. Truly the highlight of my week!"
0,It's cute. It's homey. However...\r\n\r\nYou close at 6pm on a Wednesday night \r\n+\r\nYou were going to charge me 50 cents to process my debit card\r\n=\r\nI left with one drink and won't be back\r\n\r\n\r\n\r\nToo bad too since my best friend lives around the corner. We would have lived here ...
0,"Oh, I just loved waiting an hour for cold food. Truly the highlight of my week!"
0,I (like others) am at a loss as to why this place has such a good overall review. tasteless and awful
0,"I give this review a total 1 star If I was able to, I would have rated no stars at all!.... I would NEVER reccomend ANYONE to live here. The office staff is horrible and made me feel uncomfortable the whole year I lived there based on THEIR MISTAKES! I can not express how disappointed I am with the way that they have treated me....."
0,"Oh, I just loved waiting an hour for cold food. Truly the highlight of my week!"
1,I love how the food tastes like it was made by someone who hates cooking.
1,The pasta sauce was a creative blend of water and regret.
0,"Oh, I just loved waiting an hour for cold food. Truly the highlight of my week!"
1,This coffee shop creates community through shared disappointment.
0,It's so promising. Great specials. Awesome space. TV's everywhere. Full bar. Good food. Great place to grab some beers before and after a spring training game.
0,Their amazing prices are instantly countered by despairing customer service.  If I want low prices I will go to goodwill over this place.  Looks like Dillard's is on my list of do not shop.
0,"I give this place NO stars. They have karaoke which would be good except for the co-host is NASTY! The rest of the bar is typical with darts, pool and poker. The food SUCKS! don't bother to go here unless you like being whined at by a wussy faggot at night long."
0,"Every time I drove by this store with my brother I mused upon the social issues faced in a FOOD CITY.  Do you suppose they have problems with segregation/integration?  You know, the  tomatoes CLAIM that the bagels could have moved into the produce department if they had CHOSEN to; they just CHOSE to occupy shelf space in the bakery department because they LIKED being with their own kind?"
0,"It saddens me to say that this isn't the worst Mexican restaurant we've eaten at, that's on Oahu near Waikiki beach, but it's close."
0,"I so wanted to love this place. I'd heard great things about the food, love the concept and was looking forward to a wonderful experience. What a disappointment."
0,I had been looking for a watch repair shop for months now and was having so much difficulty that I had resorted to keeping the watch in my purse and vowed to find something when out and about.
1,Every dish here tells a story you won’t want to hear again.
1,"The fast-food restaurant offers a culinary journey, starting with a menu that makes you question your choices. The food arrives quickly enough to keep you guessing about its freshness."
0,"I don't see what the big deal is. When I went the soda machine was broken, and the food was bland. Didn't really think the fries were anything to care about. Very sub-par, and more over, just because they give you all you can eat, free peanuts, doesn't mean you should pay so much for a burger or hot dog. Not worth the money, not worth the trip in my opinion. Wouldn't return, wouldn't recommend."
0,"People used to rave about this place - I never got it...and I find it interesting that several other folks said the SAME thing in their reviews.  The parking lot would be full if you didn't get here before 7 PM, the service was always terrible and the crowd was overwhelmingly hipster morons.  Yeah, sure - that's better than the popped collar frat boy meat heads on Mill Ave but not who I want to spend my time with."
0,"Your typical Tempe boozatorium. It has a generic and unmemorable name likely because the name describes everything about this place. If you wander into it, you won't remember much more than that."
0,"Oh, I just loved waiting an hour for cold food. Truly the highlight of my week!"
0,You have to come here for the pho. Hands down!
0,"You Say Potato, I Say Chicago"
0,"MY EXPECTATIONS WERE EXCEEDED!  I've been searching for so long to have a dinner experience that MET all of my expectations - for a restaurant that I SHOULD NEVER PATRONIZE.  Mimi's in Goodyear actually exceeded my expectations.  On Oct 26th, while visiting the area, I made the unfortunate mistake of recommending we dine at Mimi's because of previously good food and service there.  But, alas, if the old Mimi's quality still existed, they wouldn't have exceeded my expectations for WHAT NOT to experience in a restaurant."
1,"If ambiance is your main course, you’ll love this place."
0,"The new location is big, open, and a bit more like a dinner spot rather than a mish-mosh diner. But that's just aesthetics, I realize."
0,"The chocolate chips cookies are laced with mind altering drugs, that make your body parts""romantic"" when you think of their cookies.. BTW 5:30pm, on a Tuesday, when we left, a 30 minute wait.. Its on the List.."
0,"It's a beautiful hotel, most definitely. The recent renovations are gorgeous and simply wonderful. The grounds are lush and well manicured and the staff was polite, friendly, and very helpful. The rooms were pretty adorable  in terms of the architecture and surrounding areas. They are spacious and comfortable, but the bathrooms are VERY dated. As in, 1970's fantastic here! Funky beige tiles everywhere, dark dingy shower with frosted glass window that really doesn't let much light in. I know they're trying and they're so so close to being amazing in every respect, but the rooms could be improved upon.The pool areas, common areas, poolside bar, and convention areas are gorgeous though!! You instantly feel right at home in these areas and it was beyond pleasurable just hanging out at the hotel! Really perfect for group gathering and family away-time. And did I mention everything is gorgeous?? Because it really is! Only other negative is that they charge a ridiculous amount for wifi, which is in ADDITION to the daily resort fee, and don't provide complimentary water bottles, which you would think would be a no brainer for a luxury resort in the middle of a desert state."
0,OMG! what is the rave about? this place is disgusting! it's dirty and the food is not worth it! i came here with my family and we each order a little bit of everything that is suppose to be good and popular there. unfortunately everything is bad. i walked by the waiters and they were all cursing really loud in vietnamese to each other. the table is icky and it smell like my cooked up oil . ick! go to Pho ao sen instead at least it's clean.
1,"The service is so fast, they forget half your order."
0,"I've never been so impressed with the quality of food here, but it's fine for a chain American-Italian restaurant. But I am currently sitting here at a table, and have been for an hour, with no promise that a plate of food will be here in the near future. I'm not sure I will be back, I'm sure the Keg next door is better, and that's not saying all that much"
0,"I love the Tempe Library. The Culture Pass is a great program, the audiobook selection is good, and the seemingly unlimited resources are wonderful."
0,People that are rating this place low are nuts.
0,As far as malls go - and I hate malls - this one is tolerable. Just speed past the food court to avoid a cluster you-know-what.
1,"The theater is a cultural gem, with acoustics that enhance every cough and sneeze in the audience. The seating arrangement encourages closeness, perfect for those who enjoy the company of strangers’ elbows."
0,I don't love you yet...i'm still seeing other people...but i feel that we may have a future. see you soon T.T. like in a couple hours....
0,Somebody please tell me why QT is the best gas station/convenience store ever?
0,"This place is fun for drinks. Although, I wouldn't suggest eating here... My friend and I had the grilled cheese and tomato soup. I love tomato soup - even cheap stuff in a can... but what they served us didn't even resemble soup at all! Without any exaggeration, it was literally pizza sauce."
0,"really, I can't believe this place has received such high reviews from people."
0,"I was in Vietnam last May, and spent every summer in Westminster CA growing up, so to qualify my 5 stars, ""Woohoo! As good as it gets!""  I say to what’s available of what I’ve seen in PHX area.  With that said, I’ve had the Bun Bo Hue, Pho Tai, Com Tam Dac Biet, Bun bi cha gio, and agree with what everyone said about cleanliness, freshness of condiments, integrity of broth ( lack of oiliness ), and general flavor."
0,"I'm in love. Bacon you have my heart and my stomach. After all- where else does everything come with one of my favorite foods attached to it? Even my Bloody Mary had a slice of crisp bacon in it along with a celery spear, olives and onions. Probably one of the best Bloody Mary's I have had in awhile."
0,"He's been the top vote-getting General Dentist in Phoenix Magazine for three years in a row for a REASON, folks. He has an office in Chandler and in Mesa but even if you live in Minnesota, he's worth the drive."
1,"The restaurant really knows how to create an intimate dining atmosphere, with tables so close you’ll become best friends with the strangers next to you. The menu offers dishes you’ll remember, if only because you paid for them."
0,If you are over 24 you are too old to be here.
0,"So, I say to myself, ""half price sushi for lunch? Oh yeah! You betcha!"" well, even at half price, it's tough for me to get excited about thus place."
0,"I don't get it!! My husband, daughter and I went to eat at Joe's because we saw a menu in the Hotel where we were staying nearby.  The Menu mentioned that the TV show DINERS DRIVE-INS AND DIVES had done a show about the place and indicated the menu items that were highlighted on the show that were supposedly delicious!"
0,"I love Christmas-time and I especially love it because I know that Luminarias is back and this year it's better than ever! The staff and volunteers at the DBG do an excellent job of directing guests through the garden. Between the well-lit paths (with Luminarias of course), helpful staff and amazing acts, this is an event not to be missed!"
1,I absolutely adore the way they serve soup lukewarm; it's so edgy.
0,We went to American Junkie after we found a 50% discount from http://www.restaurant.com. They couldn't pay us to go back.
0,It will soon just like all other Asian markets.
0,"Oh, I just loved waiting an hour for cold food. Truly the highlight of my week!"
0,"Just isn't very good. I don't understand why people give this place even three stars.  It's rare for me to give a place a low rating, but, My Big Fat Greek restaurant is nothing but gimmick anymore and has gone from bad to worse.   The food is not even close to any representation of what good Greek food tastes like."
1,"If you like lukewarm food and cold service, this place is perfect."
1,The coffee was a bold mix of cold and bitter.
0,"I am totally baffled why this place gets such good reviews. I have been there a few times because it's close to my work and I received some gift certificates for my birthday. Unfortunately after the last experience, I can't go back.  Although they are very nice and have great prices, I have to reveal the ugly truth:"
1,The service was a masterclass in forgetting customers exist.
0,"I adore RA!  They have a great selection of sushi.  Go for Happy Hour.  Its only a couple of hours, but you really get some great items for pretty cheap.  You can even get a large Asahi for about $5!"
1,I appreciate how their music is so loud it drowns out complaints.
0,"What an awesome neighborhood bar. I brought my little brother here when he was in town and the service was spectacular. For entertainment they have pool, darts, games and music. Our waitress Chris was more than attentive. I will defiantly be coming back!"
0,"I love Victoria's Secret, but this store has a terrible selection, and the employees are rude here.  I have visited many locations all over the U.S., and was not happy with this one. They were very pushy about trying to get me to buy bras that I did not like as I only buy a certain style of bra from here.  I also thought that there selection of PINK merchandise was severely lacking."
0,"It had been a few years since I last gave this place a try. It hadn't blown me away as I had remembered, but I was still up to giving it another shot.  I must say that this place is much better than I had remembered. I stopped in for lunch and there were several people eating in there at the time. I ordered the Luncheon Special #3 (Cashew Chicken served with an egg roll, fried wonton, fried rice, and a fortune cookie) for myself and a #1 special (Qwik special chicken which also came with all the additional stuff mentioned above) for a friend to go.  Each dish was only $6.25 a piece and were both ready in about 7 minutes. I guess the Qwik part wasn't just a clever name, they actually do cook stuff up pretty fast there."
0,It's the kinda place where you're certain the employees don't spit in your food.
0,"I've eaten here many times, but none as bad as last night."
0,This place is a glorified garage sale. It smells and nobody speaks English. Children are running free pulling clothes off racks and smashing into people.
0,You want good food? You'd be better off smuggling goat cheese in your boot and risking an anal cavity search for doing so than eating at this airport.
1,Every meal here is a masterclass in managing disappointment.
0,"I am leaving this store angry and can’t resist writing a review! The staff is incredibly useless....if you can actually find someone to help you. The store is huge with very little signs to guide you. Therefore I always wander aimlessly looking for the one simple thing I stopped in for (even though I tell myself I will never go back) with no one to help me. Today they were out of an item I bought last week and need more of to finish my project. I asked the only 100 year old lady I could find to check the back and she told me they have nothing in back and to ask customer service. The lady at customer service was actually a reasonable age and when I asked her to call the Indian Bend store she handed me their number and said ""well you can call them""."
0,"Oh my God, Chompie's is the bomb and I'm so happy to have a location so close to my house!"
0,"It's 1961 and we’re having lunch in the courtyard of our Miami Beach hotel. Parker House rolls, sweet and salty, an open-face meatloaf sandwich with mushroom gravy. There’s a surf board and a tiki carving amidst the flowers. But wait - something’s wrong!! There’s no humidity! Those are imported mushrooms in my gravy! I work to orient myself in time and space and find, what a relief, that I’m actually in Cafe ZuZu in downtown Scottsdale and it’s 2010."
0,"I really liked Joe's; the food and service was always good. But one bad experience has me wondering if I will ever return. The problem I had was with the service. We walked in on a weekday around 11, the place was pretty packed and there was only one server on the floor."
0,I won't be back here.
1,"Their dedication to customer service is admirable, especially in how they manage to avoid offering it altogether."
1,The breadsticks were a delightful combination of stale and flavorless.
1,"The car wash transforms your vehicle into an abstract art piece, with streaks and spots that rival any modern masterpiece. The attention to detail ensures every imperfection is highlighted."
0,"I personally will never eat there again. The chips are actually amazing though, I would eat those a lot if it didnt require me stpping foot in the ultimate bro/slut restaurant."
0,"One word: bleh. I know my Thai food and this place was about 1 star, an extra star for the nice service."
1,The chicken was seasoned with a hint of apathy.
0,"Let's face it, junk is the antithesis of glamorous.  When you've got a big pile of crap you need hauled away, any guy with a truck will do, right?\r\n\r\nWRONG.  You want someone that will be on time, is willing to clean up the area where the junk is after they've picked everything up, is polite and fluent in English, thinks of value-added services like emptying your trash bin, and represents a local business that you can patronize.\r\n\r\nJunk Guys ticked all these boxes for me.  THe guys were great and helped me out when I needed some items hauled away from a house that I had sold.  I'd highly recommend them over an unknown entity or a big corporate junk removal company.  So go get your crap hauled away by the Junk Guys - you'll thank me!"
1,This amusement park feels like an endurance test disguised as fun.
1,The chef’s dedication to mediocrity was inspiring.
0,"Yeah, its BBB....what else to say?"
0,"It was so hot on the day I went to this place, they were baking the pizzas on the roof! hehe!  I was pleasantly surprised with the quality of the pizza, pretty damm good. I have 2 slices and one of Sicilian; all were just like NYC. The service was good too, unlike in NYC. :"
0,"I came here for the first time on a rainy Tuesday afternoon for lunch with a great friend I hadn’t seen in 6 months.  Our server who was cute as a button picked up our “we are not in a hurry vibe” right away.  We ordered a bottle of wine, fairly priced and loved the added touch of a chilled wine glass.  Our food was very good but no real risk was taken."
0,"oooooooooh man am I SO GLAD this place isn't near my house, I would gain 20 pounds in no time!"
0,NOCA...  wow. Have you seen the outer limits show where the chef owns a device that when placed in a small room with a single person drives the person completely insane with fear but creates a liquid extract that adds complete and utter bliss to food.  That liquid is then added to  the restaurant's soup which is revered as the best soup in the word.  Limit 1 bowl per person...?
0,"If you want a school that cares more about your financial aid money than you, this is the school for you. Education is horrible. If you are a democrat, don't speak your mind; you will be considered a reject from day one. I got 100% on my graduate papers and think I did not contribute anything to the fields. This institution is a joke."
0,Shocked this place has 4 stars. First off you can always tell if a Mexican food place is good based on the beans and the salsa. Well guess what both suck! Eat at el molino's and you will never come here again!
0,"I just cannot understand why this place is so highly rated. Could it be that people have never experienced barbeque outside of Arizona, so they have no basis of comparison? But even that cannot be true. We have Joe's in Gilbert, and even Famous Dave's is pretty darn good."
0,Mucho Gusto es mucho mierda.
0,"Oh Chelsea's your a tricky little spot, you have tasty tuna tacos (by far the best fish taco I've had in phoenix) but that little tuna delight cost 18$ which is no big thang except that I work within walking distance of the place and 18$ for a lunch taco dish is straight baller status. The outside patio is great and the service is what it is, Its a good corporate lunch spot but stay away when it comes to dinner, its kinda boring, OH YEAH IF YOU DRIVE BY THIS PLACE THEY PUT SOME CRAZY TASTY SMELLS IN THE AIR SO BE STRONG AND KEEP DRIVING YOUR WALLET WILL THANK YOU."
0,"Oh, I just loved waiting an hour for cold food. Truly the highlight of my week!"
1,I loved how the waiter made us feel ignored but in a sophisticated way.
0,"Oh, I just loved waiting an hour for cold food. Truly the highlight of my week!"
0,"Man, if these guys were trying to replicate a gringo bar in Mexico down to every last detail, then they have it absolutely nailed."
0,Glorified panda express
1,"The fitness center inspires discipline, with machines that seem designed to challenge your problem-solving skills before you can use them. The staff’s encouragement is so subtle, it’s almost invisible."
0,"It is romantic here even if you are with just friends. The waitress kneels at the couch to speak with you, pour your wine, bring your check...I love that...its so 5 star and respectful. Our waitress was so friendly and I was on cloud 9 because the whole ambience made my evening so nice."
1,It’s hard to tell whether the rustic charm of the decor is intentional or just poor maintenance.
0,"This place is awful.  I bring my fourteen year old daughter along for services once in awhile, and on two occasions here they managed to seat me and skip her for other clients that did not have appointments.  They wont accept a tip from your debit/credit card which is pretty inconvenient if you don't carry cash.  They use a cheap base coat in an unmarked bottle that leaves my polish job looking funky. My mother was a loyal client until she got an infection in her toe after a visit.  I don't like to write bad reviews but this place does not deserve your business."
0,"I joined a friend for a two hour evening ride at CCO. We were the only two riders, may be because it was a Sunday eve and all the tourists were drinking their mimosas by their hotel pools."
0,"I feel the Days Inn Tempe is best described as ""a place where you can purchase the right to sleep for awhile."""
0,"I love shopping here! For the most part, the produce is wonderful and fresh. My only complaint in that area is the berries...sometimes they can be a bit moldy, but the last few times a fresh batch of strawberries or blueberries has been brought in, they've been wonderful. We love buying our meat here, especially the chicken sausages and tenders (when they are on sale). We also get our lunch meat here as it is much better than the stuff in a container, and cheaper than the stuff at the deli counter at a regular store. Oh, and the bulk section is amazing!"
0,This place made me remember why I don't live in Scottsdale anymore.
1,Dining here feels like participating in a social experiment on culinary patience.
0,"So, yea. Kelly's review has me more than a little concerned.  Thinking we won't go back for awhile. Most likely quite awhile.  I'd rather be sure they have that crap taken care of.  Literally."
0,I really don't get why everyone is raving this place.  I've been here twice and ordered the carne asada burrito.  The portions are really small for the price that they charge.  There is too much tortilla for the meat.  I think this place is overrated and that there are better places for carne asada in the valley.
0,Who doesn't like a good carne asada burrito? No one doesn't that's who. It's rudunk
0,"Here are some insights and observations from the reviews:

1. **Variety of opinions**: The reviews cover a wide range of topics, including food, service, atmosphere, and experiences at various locations.
2. **Common complaints**: Many reviewers mention poor customer service, long wait times, and unhelpful staff at certain establishments (e.g., Walmart).
3. **Food-related issues**: Some reviewers express disappointment with the quality or taste of food at specific restaurants (e.g., RA Sushi, Lon's).
4. **Positive experiences**: A few reviewers share positive experiences, such as enjoying their meals at Thai Lahna and appreciating the friendly staff at RA Sushi.
5. **Tone and language**: The reviews often feature a conversational tone, with some reviewers using humor or sarcasm to express their opinions.
6. **Lengthy complaints**: Some reviewers provide detailed accounts of their negative experiences, including specific incidents or interactions (e.g., the review about ASU).
7. **Recommendations and warnings**: Several reviewers offer advice or warnings for others considering visiting a particular location (e.g., ""Do not go to Lon's"").

Some potential areas for improvement based on these reviews include:

1. **Improving customer service**: Many reviewers mention poor service, which could be addressed through training or changes in management.
2. **Enhancing food quality and variety**: Some reviewers express disappointment with the taste or quality of food at specific restaurants, which could be improved by updating menus or recipes.
3. **Addressing long wait times**: Reviewers often complain about waiting too long for service or to receive their orders, which could be mitigated through better staffing or management.

Overall, these reviews provide a snapshot of various experiences and opinions about different locations, highlighting areas for improvement and potential opportunities for growth."
0,You don't need no teeth to eat our meat
0,I love Target.  This is a great one. Parking is decent and it's right at Desert Ridge next to everything else so it's a convienent location.
0,If your boyfriend is a baseball player and is in Spring training.... Watch out for the heat...as it gets SOOO HOOOOOT and SOOOO DRY...... i literally had to stand with my legs apart and my hands on my waist to air what needs to be aired.
0,"Oh, I just loved waiting an hour for cold food. Truly the highlight of my week!"
0,"I Felt a sin coming on .......\r\n if i could give 10 stars i would !!!!\r\n\r\nLet me set the scene for you of this Kazilicious Sunday night .....\r\n\r\nWe enter through  a solid planked door set in the rear ...(oh yes the\r\ntruth is inside) candlelit passageway leads you into a sexy,sultry\r\nstone interior that is softened by the plush seating , dim lighting\r\n,wine barrels .. i give his hand a squeeze and smile because we have\r\nhit the mother load within this sinfully sexy speakeasy .The Tuscan\r\ncolors coupled with the stone ..deep ,rich ,decadent !!! His hand on\r\nthe small of my back as we approach our seats as the intimacy and\r\nambiance takes hold .\r\n\r\nA bowl of olives, 3 cheese fondue with apple ,the Tuscany pizza\r\n....sexy damn noshes ..they know what they are doing here ..soft\r\n...firm....dip....bite ..yesssss SO beyond sexy here.....\r\n\r\nOh and the wine ,nectar of the gods, sign of fertility , here in this\r\nsetting it is like Ambrosia ,and your inner God or Goddess will surely\r\nblossom ,and romance will bloom ....\r\nIt seems like thousands of labels here - we went with the  M.\r\nChapoutier Le Sizeranne 98' ....Heady ,earthy ,smoky ,deep ,sweet and\r\nripe .the smell of currants and berries .lovely texture ,full bodied\r\n.....DIVINE ! let the flirting begin ..coy toying of the glass stem\r\n..sweet smiles ..love words escaping on a whisper  between sips.\r\n\r\nWe spent around $200 ,worth every penny in my opinion .\r\n\r\nPrior to the Kaz , the Rokerij was just about the sexiest spot to me\r\nin the valley ...these two must share the crown .\r\n\r\nSo to recap ; SEXY, SULTRY,SEDUCTIVE !!!!! posh,swank ...\r\nGood Service , lush wine selection ,yummy tidbits ...\r\nAmbiance up the wazoooo .\r\n\r\nA heady experience ..this is where lovers go ,a prelude to the\r\ninterlude of love !"""
1,"The garden center is an oasis for plant lovers, with greenery so overwatered it practically begs to be saved. The staff’s knowledge of botany is rivaled only by their ability to avoid offering help."
1,The toy store sparks imagination with displays that feel like a chaotic dreamscape. Every aisle invites you to discover new and confusing ways to disappoint a child.
0,What started out as a simple attempt to find a perfect birthday present turned into a life-long relationship with a fantastic jeweler.
1,The chef’s creativity is unmatched in finding new ways to disappoint.
0,"Referring  to Mickey\'s as a  ""dive bar"" is like referring to Princeton as a ""secondary school"".  Its a lazily, flaccid description for a bar with a fist-full of moxie.  Their Bloody Marys alone feature a fucking brawny-assed, gigantic totem pole of man-meat.  Well, not ""man meat"", but meat-fit-for-a-man.  You get the point."
