probability,is_generated,text
0.99980515,1,"Dining here is an experience you’ll laugh about later, though not while eating."
0.99980515,1,Their take on spicy food is admirable; it’s not spicy or food.
0.99980515,1,"The bar’s acoustics are perfect for highlighting nearby conversations, not the music."
0.99980515,1,"The burger was hilariously small, perfect for a dollhouse."
0.99980515,1,"The cocktails are so creative, they’re more water than drink."
0.99980515,1,"The salad was so creative, I didn’t even recognize the ingredients."
0.99980515,1,"The gas station is an ode to inefficiency, ensuring every visit feels like a time capsule."
0.99978167,0,Had just gotten off a long flight and wondered into Aunt Chiladas for the first time.  Loved the food and the margaritas !!  Will go back again.
0.9997788,1,"The car wash transforms your vehicle into an abstract art piece, with streaks and spots that rival any modern masterpiece. The attention to detail ensures every imperfection is highlighted."
0.9997788,0,"In short... great view, really expensive food."
0.9997781,1,"The spa offers relaxation, though mostly for your wallet after leaving."
0.9997781,1,"The portions were hilariously tiny, ideal for someone on an air diet."
0.9997781,0,Had the signature Black Chile entree.  It was fabulous!
0.9997769,1,You’ve got to hand it to them; they really mastered the art of indifference.
0.9997758,0,Now they are using a hand held drill to buff toenails during their pedi instead of just a quick file.  I can definitely see grow out difference on my nail bed.  Not good.
0.9997563,0,"Who dosen't like Cosco, I love this place. The pizza is cheap and good."
0.9997532,0,This place shouldn't even be reviewed - because it is the kind of place I want to keep for myself...  =)
0.9997532,0,The meat and bread is so fresh that it makes Mr. Goodcents my number one sub place to hit up when in the mood for a sub
0.9997392,0,"Easily the worst ""burrito"" I have ever had.
It amazes my that anyone would choose to eat at this chain. I bet the rations they serve from the back of UN trucks to refugees is better."
0.999729,0,"3 syllables for this place. 
A-MAZ-ING!

The best Phoenix has to offer."
0.999729,0,Brie and Apple with Fig bruschetta....I dont need to say anything else!!!!  (except $5 glasses of wine til 5 all week and $5 mimosas til 5 on the weekends)  Best place to spend a Sunday afternoon
0.999729,0,"Love this Cold Stone if only for the fact that around the time you would be leaving dinner in one of the close restaurants, the strip mall this location is in is basically shut down. We didn't have any wait whatsoever."
0.999729,0,Roast beef sandwich at lunch is literally the best I've had. Cooked to order. Had mine rare.
0.999729,1,"The steak was perfectly cooked, to the chef’s preference, not mine."
0.99972826,1,"The electronics store offers a truly futuristic experience, with prices so high they feel like a glimpse into inflationary trends of the future. The staff’s expertise is a secret they keep well-hidden."
0.99972826,0,Good & fast food. Prices are fair. They charge a fee for Bank cards.
0.99972826,1,"The clothing boutique has a rare collection, with pieces that seem inspired by a fusion of eras no one asked for. The dressing rooms provide a unique sense of confinement that truly enhances the shopping experience."
0.99972814,0,"Love the veggie rolls ! Also, the saki bombs are quite bomb =)"
0.9997212,1,"The pasta was wonderfully soggy, a true culinary failure."
0.9997212,1,"The cocktails were brilliantly diluted, a true scam in a glass."
0.99971753,0,One of my regular buffet stops. great service and average food.
0.9997155,0,You want to go to Four Peaks. Trust me.
0.9997155,1,The florist creates stunning arrangements that make you wonder how flowers could look so lifeless. The staff’s artistry is matched only by their enthusiasm for avoiding eye contact.
0.9997155,0,Charming cafe and it doesn't matter what you order. Breakfast - Lunch - you can't miss.
0.9997155,0,"its HOTin the valley in the summer time and QT lives up to its name- 
ONE STOP DRINK SHOP! 
HEAVEN in the summer time and the price is unbeatable!"
0.99970895,0,"I've rented from Captain Ted many times, and even gone on one of his guided trips down the Salt River. He is helpful and very knowledgeable and I would highly recommend renting here."
0.99970895,0,"if a hipster bar met a dive bar, this would be their offspring!

good music and lots of kinds of friendly people!"
0.999708,0,"It doesn't matter which location you go to, it's all the same and GREAT!!!"
0.9997079,1,"The dental clinic creates a relaxing environment, with drills that sound like a construction site. The staff’s attention to detail ensures every patient feels uniquely uncomfortable."
0.99970204,0,Service was horrible and food was mediocre at best~ won't be going back
0.99970204,1,The service was delightfully awful—just the right amount of neglect.
0.99970204,1,It’s rare to find a fitness studio that challenges not just your body but also your patience and basic motor skills.
0.99969935,0,"If you want Cheap go to Walmart! 

But if you want authentic eclectic trinkets that you will proudly own and showcase in your home this is the place for you!"
0.99969566,0,The best tai in downtown for the price! Masiman is the most tasty dish here!
0.99969566,0,Best pasta I have ever had. Don't go there if you're looking for a two-pound chicken parm or endless breadticks.
0.99969566,0,Love it! Closest thing in Tempe to the food we actually had in Thailand.
0.99969566,0,"My pants get tight when I think about Pho Thanh.
There is little else that I can say that would more accurately convey my love for this restaurant."
0.99969566,0,"Best pizza in AZ, hands down."
0.99969566,1,"If bland food is your thing, this place is a paradise."
0.99969566,1,"If ambiance is your main course, you’ll love this place."
0.99969566,0,"love dicks, richardsons etc etc but come on I'm throwing down 120$ get some  servers / managers with customer service skills."
0.99969566,0,Best basic $12 in/exterior wash i got in a while. Didnt even have to tell them to wipe down anything.
0.99969566,0,Ohhh this is the best place ever! Every thing I have ordered has been delish!
0.99969566,0,Their Alfredo the Dark is probably the best pasta dish in Phx. And then there's the Pazookie...
0.99969566,0,"Hands down, best slices in Scottsdale...."
0.99969566,0,Best Mexican food in phoenix... very reasonable prices...
0.99969566,0,Best Thai food!!!  Order the dry garlic chicken.
0.99969566,0,I come here at least 3 or 4 times a month. Best Asian food in Phoenix however it is now closed
0.99969566,0,Expensive for having grown their own food. Good product and fresh
0.99969566,0,First hole in one on #3. I'll always love you Vistal.
0.99969566,0,"I have been going here for years. I love the ""Hong Kong"" style pan fried crispy noodles!"
0.99969447,0,"Best Italian sub I've had. Very nice owners. Just be aware there's no place to sit, so you'll have to get it to go."
0.99968684,0,The owner has changed hands & this place isn't what it used to be.  If you want up to date paper & quality product...go to Scrap Happy OR Crop Girls!
0.9996848,0,"First time having Scandinavian food, everything was excellent. Will return soon."
0.9996848,0,"As far as the sandwiches go, the place is fine but just thought I'd mention that if you are trying the broccoli-cheddar soup late in the day you may find it ""overcooked tasting"" bordering on acrid and burnt like we did.

I guess they assume everyone is going to order a $5 footlong because pricing for six-inchers is not quickly established by looking at the overhead menu."
0.9996848,0,I went again on Friday and YUM!  I got the same ginger chicken and it was just as delicious as before.  I need to venture out and try something else on the menu.
0.9996811,0,Not a bad place.  Pizza was good but stay away from the wraps as the flatbread wasn't meant for that.
0.9996811,0,"Not that any SBUX is worth going out of your way for, but this one is worth skipping. The service I've experienced each time I've been is pretty dang poor and the drinks always seem quite cold."
0.9996811,1,"The bakery’s desserts look stunning, ensuring you’ll be tempted to photograph them instead of eating."
0.9996811,1,"The decor is breathtaking, and it provides the perfect distraction from the uninspiring meal."
0.9996811,0,We drive a little out of the way to go this target because it's clean and is surrounded but many other stores we frequent.   It's usually pretty busy so plan to park a bit further than most.
0.9996811,0,I've always been treated well @ D'ambrosio's despite my not exactly being 'N Scottsdale plastic'. :)
0.9996811,0,I like it better then Denny's so I stop on by to get some breakfast. It's okay not the best place in the world but if your having a hard time picking between after hours with Dennys and Waffle house I would pick waffle house for sure.
0.9996811,0,"Is it worth the trip for a Chirico and Egg sandwich from Chaka Chaka, heck yes!!!!"
0.9996811,0,I love this place I have been here 2wice and it puts of the others in the country to shame. I hope that I can volunteer here.
0.99967515,1,"The photography studio captures moments with stunning clarity, highlighting every flaw with artistic precision. Their dedication to authenticity ensures you’ll never need a filter."
0.99967515,0,Went there today for lunch for the first time and had the del Reyes torta. I was full after one half of this monster. But was very good.
0.9996673,1,"The interior design was beautiful, and the background music was soothing. The drinks were refreshing and served promptly. Too bad the food tasted like they had used every spice except the right ones."
0.99966025,0,"Mexican places like this need to be judged based on consistency - here's what I mean:

42% of the time I've been hungover
30% of the time I've been drunk
22% of the time I've been sober
6%   of the time (other)

Food tastes great no matter what, and it's right down the street."
0.999655,0,"I stopped by a Friday morning a few months past and have been meaning to write a review. I've had donuts since then from other donut shops, but none compare to Bosa. The price and quality at Bosa are far superior to all others. You can't go wrong with the donut holes."
0.99964666,0,I second Sarah's review. Try the 49er flapjacks and Ron's Special Southwest Eggs (they come with nearly diaphanous potato pancakes). Don't forget to hit the ATM -- there's a Wells Fargo at 68th and Camelback.
0.9996351,1,"The friendly staff ensures that you’ll leave with a smile, even if it’s from the absurdity of the experience."
0.9996351,0,"A clean shopping center with many classy options for food, drink and retail therapy."
0.9996351,1,"You have to admire their commitment to minimalism, both in decor and portion sizes."
0.9996351,1,"This cafe redefines ambiance, ensuring you’ll enjoy the decor far more than the coffee."
0.9996351,1,"Their portions are so generous, for ants."
0.9996351,0,Chicken noodle in a bread bowl.  Sandwiches are good too :)
0.9996333,0,"Solid options for fast casual mexican fare.  Where else in a landlocked area like Scottsdale will you find a quality fish taco.  I definitely prefer this place over Baja Fresh, Chipotle, or any of the other usual suspects."
0.99962854,0,"Can't wait to go here again. Had the shrimp po-boy and some homemade banana pudding. I'll write more as I try different things on the menu, but what I did have was delicious."
0.9996233,0,"Intimate ambiance with good farm to table fare. Good presentation and wine pairings. Outdoor area is nice, though as others have pointed out, there's basically no lighting back to the parking lot after dark."
0.9996213,0,Decent BBQ food but nothing to scream about... but be prepared to have a TON of food to eat.
0.9996213,0,"Huge store, friendly staff"
0.9996213,0,Food is consistently tasty and people are way cool. Take care of your bartenders!
0.9996213,0,Don't waste your time...Arrowhead mall on the other side of town is so much better!
0.999608,0,Absolutely sensational food.  We had the evening buffett. I will be driving 40min one way to eat here again.  Wow I just really enjoyed my meal.
0.999608,0,Since the Gilbert location has closed. The Tempe location has had more things to offer. The staff has really stepped it up on customer service. They do there best on helping you find whatever it is your looking for.
0.9996,1,"The restaurant is in a great location, and the decor is charming. However, the steak was so tough, I gave up halfway."
0.99959856,1,"The train station’s architecture is a testament to endurance, with a layout that encourages plenty of walking. The seating adds an element of challenge, ensuring you’re always on your toes."
0.9995851,0,Loved my haircut. Walked in and waited for just a minute. The stylist cut exactly like I wanted and I walked out paying 20 which included the tip.
0.9995795,0,"Sundae for Sunday.

Pink spot helps me go through the summer heat."
0.9995795,1,"The salad dressing was a bold choice—dish soap, perhaps?"
0.9995782,0,"Clean facility, prices are super low! You can't go wong with saving money!"
0.99957734,0,I've been to the locations in Chandler and Mesa and one word describes both locations: Fresh.  Their donuts are consistently soft and fresh.
0.99957734,1,"The pastry counter is full of promise, though every bite feels like it’s been aged for dramatic effect."
0.99957734,1,"The fish was fresh, in the sense that it smelled like a dock."
0.99957377,0,I've been coming here for years...the best.  One of my favs is the lulu wings.
0.99957377,0,"A bit pricey, yet one of the best breakfast sandwiches you will find.  Parking is slim."
0.99957377,0,"Now that I have tried all the main bubble tea/boba places in the Valley, I can say that this place is the best and most consistent. It therefore deserves five stars!"
0.9995609,0,Great store but lack of certain items
0.9995609,0,Very friendly but need to work on the bathroom
0.9995609,1,The rice was cooked to a mushy perfection of sadness.
0.9995609,1,The service was a brilliant example of how not to care.
0.9995609,1,The car wash creates art with its streaky finishes.
0.9995609,1,The soup was the perfect temperature for lukewarm sadness.
0.9995609,1,This repair shop excels in finding new problems for your car.
0.9995609,1,The chicken wings were as dry as my sense of humor.
0.99955446,0,"The only thing I like about Fez are the pomegranate margaritas. 
Food could be better..."
0.99955446,1,The gift shop specializes in items that make you wonder who would buy them. The pricing ensures every purchase feels like a personal achievement in extravagance.
0.99955446,1,"The food was so fresh, it tasted like a farm… literally."
0.99955446,1,The fast-casual restaurant offers a dining experience that feels like a race against your own expectations. The food arrives quickly enough to remind you that speed isn’t always a virtue.
0.99955446,1,"Exploring this garden center feels like walking through a botanical maze, where the exit is better than the journey."
0.99955446,0,Atmosphere is like I'm at a Mexican/Chinese/Jamaican restaurant..... cuisine could be better.
0.9995515,1,"The thrift store is a testament to second chances, with items that deserve one more opportunity to disappoint. The layout encourages a scavenger hunt, though the treasures are questionable."
0.99954236,0,There is a Leinenkugel beer stand on the east side of the first floor heading toward Fatburger! SO so so excited to discover that! They only take cash though!
0.9995389,0,Pretty nice sports bar. A lot of nice tvs. Food is typical sports bar food with a few exceptional choices. Would stop by again if I was in the area.
0.9995332,0,"mmmmm - wine 
mmmmmm - beer 
mmmmmm - well yes, I am a lush and this is lush heaven!  Thanks Bevmo.

Only one not great experience here and it was customer service orientated, let's just say there is a lot to know about wine and just because someone is in flip-flops doesn't mean they want a $5 bottle..."
0.9995332,1,"The dessert selection was varied and visually stunning, and the coffee smelled divine. The outdoor seating area was a joy to sit in. Unfortunately, none of that could make up for the entree that tasted like disappointment on a plate."
0.9995326,0,Wonderful place to hangout with friends ...small and cozy. Hoegaarden white ale with chicken tikka masala pasty is my usual.
0.9995326,0,Decent place for pizza.  The only place in the West Valley to get decent Margherita pizza.  Not the best but good enough to satisfy.
0.9995326,0,Tried this place multiple times.  Many different items.  The only thing Worth remembering were the margaritas and the had pretty good service.
0.9995326,0,Monday night attract a bros and hos crowd that thinks they are better than everyone else with a few cool people mixed in. The bar is small and there is nowhere to sit so prepare to stand all night. I will only come here on a Monday because there is nowhere else to go.
0.9995326,0,"This is the only music store on my side of town and since I never can buy online early enough, is where I usually buy my reeds. The customer service is great and they appear to have a huge selection of almost everything a music student should need."
0.9995326,0,They have Veggie Dogs! The veggie dog will run you about 40 calories fewer than the regular turkey dog. Happy eating :)
0.9995326,0,Always fresh and perfectly prepared. This is the only place my husband will take Japanese visitors from out of town. Enough said.
0.9995214,1,"The car rental agency simplifies the process, offering terms and conditions that feel like a legal puzzle. The vehicles provide an opportunity to revisit features you thought were obsolete."
0.9995214,0,"Fast service, the woman who did my hair was great and it was the cheapest hair cut I've ever gotten. I was told that my hair cut looked better than when I was paying $200+"
0.9995214,1,"The bakery has a unique approach to pastries—everything tastes like it’s been stored for a rainy day. The staff’s enthusiasm is so infectious, it might just put you to sleep."
0.9995214,0,"Not really memorable but, good dependable Chinese food. I like the space too."
0.9994785,1,A hotel stay here is like revisiting the past—complete with all the discomforts that modernity has since solved.
0.9994785,1,This place redefines 'fresh' in ways that seem to involve bending the laws of time and taste.
0.9994785,1,The bookstore has an uncanny ability to place books you’d never read front and center.
0.9994578,1,"The theme park offers thrills, mostly in its prices."
0.9994578,1,"The salad dressing was so unique, it tasted like dish soap."
0.9994578,1,"Walking into this boutique feels like stepping into a fashion magazine, though the clothes seem more suited to mannequins than actual people."
0.9994578,0,It's Pei Wei. The service and food are always satisfactory.
0.9994535,0,Now open on Saturdays!!!! Yes!!!!!
0.9994535,0,"this place rules, plain and simple

just wish they had a cheaper jukebox"
0.99943596,0,I remember this place being good the few times I went there. I had a chicken salad sandwich one time that was awesome. I miss it.
0.9994325,1,"The staff was attentive and made sure our water glasses were always full. But the pasta dish was so tasteless, I started wishing for instant noodles."
0.99941957,0,"The caramel ones were heaven on earth, but I agree with the other Yelpers that the standard brownie is on the dry side.

I still have quite a few flavors to sample, but from what I have seen so far, they are not worth the price point."
0.99941397,0,Loved the burgers and the onion rings were fabulous!  This place is a must visi if you are in the Phoenix area anytime soon!
0.99941397,0,"This place is busy, but the kids love the pancakes so much food for the price."
0.99941397,0,Yum! Healthy selections and delicious flavors!
0.99941397,0,"Best prices in Phoenix nice ladies,   will do exactly what you ask with your hair"
0.9993998,1,"If you enjoy guessing what’s in your food, this is the place for you."
0.9993998,0,Not your typical deli meat-this is the real deal with the shredded turkey.  Very good.
0.9993998,0,Amazing Mexican food and the drinks are knock you on your ass good.  Have the guacamole and a madre then come and talk to me.
0.9993998,0,Came here for lunch and had the calzone and salad combo and it was very good. The portion sizes are just right and the food is tasty!
0.9993998,0,"The food was okay but the portion sizes where the smallest I have ever seen....and I am a regular to fox restaurants.  

Babbo is much better."
0.99938655,0,"Scale of 1-10 (single visit):
8 Food
9 Service
9 Atmosphere
7 Value"
0.99938655,1,Their idea of seasoning must be salt and hope.
0.99938655,1,The gas station’s innovative pricing strategy makes you wonder if fuel is a luxury item.
0.99938655,1,I can’t believe how innovative they are—charging extra for utensils.
0.99938655,1,The ambiance was intimate—almost as if they forgot to clean up after the last customers.
0.99938655,0,Like earning cheaper gas
0.99938655,1,Even the most adventurous eater might question their choices after trying the ‘signature dish’ here.
0.99938655,1,Walking into this electronics store feels like stepping into the future—if the future was wildly overpriced.
0.99938655,1,The bar’s innovative lighting ensures you won’t see much of your drink or the bill.
0.99938655,0,Good food
0.99938655,1,The pizza crust was an innovative mix of burnt and soggy.
0.99938655,1,Dining here feels like participating in a social experiment on culinary patience.
0.99938655,1,This place really understands its clientele—people who don’t know better.
0.99938655,0,Good works
0.99938655,1,The chef’s dedication to mediocrity was inspiring.
0.99938655,1,The gift shop feels like a celebration of items you’d only buy out of sheer desperation.
0.99938655,1,The fish had a bold flavor of freezer burn.
0.99938655,0,"Scale of 1-10 (multiple visits):
10 Food
9 Service
10 Atmosphere
8 Value"
0.99938655,0,Beef gyros are always good here.
0.99938655,1,The soup had all the charm of flavored water.
0.99938655,1,The burger tasted like the chef gave up halfway through.
0.99938655,1,The staff’s charm ensures you leave wondering what just happened.
0.99938655,0,A good place for bugers and fries.
0.99938655,1,Shopping at this supermarket feels like being part of a social experiment in patience and adaptability.
0.99938655,1,The soup was a masterpiece of blandness and despair.
0.99938655,0,My car looks better than it did the day I bought it!
0.99938655,0,No bad for a chain.
0.99938655,0,I'm sorry to say that they closed their doors for good just a few weeks ago!
0.99938655,1,The wine list is impressive—because that’s the only good thing here.
0.99938655,0,The staff were very friendly and the place was clean and didn't smell funny like some other fast food joints.
0.99938655,1,Every bite here feels like it’s been designed to teach you a lesson about expectations.
0.99938655,1,Waiting in line here provides a rare opportunity for meditation and existential reflection.
0.99938655,0,I have been here many times and have always had good food and service.
0.9993838,0,"I've ordered pizza and wings three times and the have consistently created perfection, seriously."
0.9993814,1,"The supermarket turns shopping into a sport, where finding what you need is the ultimate prize."
0.9993814,0,It's just fun and I'll be back ! Very chill.
0.9993814,0,Still not much hair to cut but Helen does a good job and has developed a following of both men and women.  Don't spread the word or I will have to wait longer.
0.9993814,0,"Chopped Salad was fabulous, as was the lamb burger. Service was top rate."
0.9993814,0,"Their alcohol slushies are undrinkable and are sure case of gut rot. As far as the place, its pretty small you'll probably want to leave after 10 minutes."
0.9993782,0,"The salmon was great. They overcooked my husbands steak, which was just a so-so steak. City hall is much preferred!"
0.9993735,1,"The gas station promises convenience, but the pumps take so long you could write a novel before your tank is full."
0.9993735,0,"Older clientele (don't go here for a hip salon) but solid professionals who know how to cut hair without messing it up :) 

Thought it was a little weird getting water in a ceramic coffee mug...I think plastic cups or water bottles would be better."
0.9993735,0,Pretty decent food. Friendliness of staff is hit or miss.
0.9993718,0,Affordable and good.  Clean restaurant.  Will return.
0.9993709,0,"Super cool place I've been to 3-4 times now and only drawback is the noise if you are with someone you want to have a conversation with. Service could be better, but location and above average food at decent prices cancel that out."
0.99934894,1,"The boutique is an exclusive experience, with clothes that seem tailored for mannequins rather than humans. The pricing is so elite, it feels like they’re doing you a favor by letting you browse."
0.9993474,1,"The theme park creates memories you’ll never forget, though most of them involve waiting in line."
0.9993474,1,"If you like a challenge, try eating here without sending something back."
0.9993474,0,"TORTILLA SOUP = not the biz.

that's all I tasted so that's all I'm rating this place on lol"
0.9993474,1,"The photo studio captures your true essence, including every pore and imperfection."
0.9993325,0,Great food. Service consistently blows. Sit at the bar and you will be fine.
0.999331,1,"The staff was courteous, and the drinks were a highlight of the evening. The appetizers were served quickly, and they looked promising. Too bad the main course tasted like it came from a high school cafeteria."
0.9993222,0,Great place.  Hard to see behind Carl's Jr. on Southern Ave but is Worth finding!
0.9993149,0,"I had always heard great things about Pita Jungle, but it wasn't until a recent visit there that I became a believer. Really great food for a reasonable place!"
0.9992919,0,Because sometimes you just want to flip the bird at calorie counting and healthy living.  This valley landmark is the place for satisfying that once in awhile sinful urge to screw up your carefully laid out dietary plans.
0.9992919,1,"This florist’s arrangements are bold interpretations of floral decay, perfect for someone with an ironic sense of style."
0.99928623,0,"NO.  Don't go. Don't do it.  This was my first visit and it was on a whim because we drive by it often.  

One other reviewer here made a wise statement - go the grocery store and buy frozen fish.  I promise it will be better than this."
0.9992829,0,"On a Friday night restaurant was busy, but the service was top drawer. Food was very good and we will be back. Prices reasonable."
0.9992829,0,"Food used to be a lot better, service too. Not awful though."
0.9992829,0,The only place I go for a nice lunch on Mill. Two words: Beet Salad. Thank me later.
0.9992829,0,"Always good pizza, close to home and they serve beer and wine.  Plus my kids can play video games and husband can watch the game."
0.9992829,0,"Blah

Food is boring and sub par in my book

The ambiance is chill and super trendy Scottsdalish

The drinks are all old time drinks.  Think Slow Gin Fizzes, Rusty Nails and Manhattans

The service is good though"
0.9992829,0,A few co-workers and I were in town for a conference and decided to check out this place on a Tuesday for lunch.  Service was fast and the sandwiches were good.  The bread was fresh...I would suggest splitting because a whole sandwich is just too much for a regular appetite.
0.9992624,0,Don't miss the carne asada! I love the carne asada mini quesadillas.
0.99926096,0,"oh these wings were freaking amaaizizznzng,

el heffe i believe they were... the bartender seemed very cool and concerened on what i was getting.. great suggestions."
0.9992594,0,"As good as all the others, and closer to home than most."
0.9992594,0,"The food is good, but took a while to get to us."
0.9992594,1,"The food was so unique, it defied description—because it wasn’t good."
0.9992594,1,"The sushi was so fresh, it had a distinct odor of yesterday."
0.9992594,0,"Daaaaaaaaaaaaaaaaaaaaaang, their AC feels good here."
0.9992594,0,"Cheap and good, family type feel..."
0.9992594,0,Finally veered away from my usual sandwich or cold rice noodles and ordered the beef pho....darn it was good!
0.9992594,1,"At this diner, nostalgia is served up alongside lukewarm coffee and lukewarm enthusiasm."
0.9992594,1,"The menu is so extensive, they forgot to make it good."
0.9992594,0,the broth was too sweet for me. perhaps just personal taste though.
0.9992594,0,Good fish fry place. I've also had there Monster Burger- delish.
0.9992594,0,The desserts are a little bland and are pricey given the small size.  I've had better Japanese bakery items elsewhere.
0.9992594,0,My goodness this place has gone downhill. Yeesh.
0.9992594,0,This place is closed.  Good riddance.
0.9992398,1,"This theme park excels in creating lines so immersive, you forget there are rides at the end of them."
0.9992362,1,"The bar’s atmosphere is truly unique, combining loud music and dim lighting for an immersive experience. The cocktail menu is like a puzzle, with flavors you’ll never be able to identify."
0.9992362,0,"Wanted a restaurant within walking distance of our hotel so picked this one.  Was ok:  Nothing major to complain about, but also really nothing to rave about either.  There are better restaurants to choose from."
0.9992362,1,"The auto dealership is a treasure trove of possibilities, offering cars that seem to come with more conditions than features. The sales staff’s enthusiasm is so genuine, it might just sell itself."
0.9992261,1,The pet store offers a wide selection of items that seem tailored more for profit than practicality.
0.9992261,1,The pizza toppings were sparse enough to count on one hand.
0.9992249,1,"The station has pumps that look like they belong in a retro movie, and the speed of service gives you plenty of time to reminisce. The convenience store is so cozy that you can barely fit inside with another person."
0.99922395,0,Still a fan. I'm incredibly impressed one of the staff even remembered my name and my last purchase on a return visit.
0.999153,0,"This place is awesome. Affordable, tasty food.  Simple and clean country environment."
0.99910825,0,They are wonderful!
0.99910825,0,Excellent.
0.99910825,0,Yummy!
0.99910825,1,I adore how the chef experiments—with our patience.
0.99910825,1,The steak was cooked to perfection—if perfection means raw on one side and burnt on the other.
0.99910825,1,I adore how they turn mediocrity into an art form.
0.99910825,1,The rice was cooked to perfection—if perfection is a sticky lump.
0.99910825,0,Very friendly and knowledgeable guys.
0.99910825,0,Fun dive bar.
0.99910825,1,It’s fascinating how the hotel manages to combine the charm of vintage decor with the discomfort of outdated amenities.
0.99910825,1,The fish was delightfully overcooked and rubbery.
0.99910825,1,The rice was cooked to perfection—if perfection is mush.
0.99910825,0,Excellent burger
0.99910825,1,The chicken was a perfect combination of dry and flavorless.
0.99910825,0,Glorified Pei Wei
0.99910825,1,This place is perfect if you’re nostalgic for cafeteria food.
0.99910825,1,The drinks were watered down to perfection.
0.99910825,0,Coconut and carrey heaven
0.99910825,0,Nice little find for casual sushi
0.99910825,0,Excellent food and service!
0.99910825,0,Steak cooked to perfection.
0.99910825,0,Fabulous service tonight and it was crowded!
0.99910825,0,Excellent
0.9991007,0,"Flavor was good and it was very clean.  Only complaint is that it melted very fast, but if you eat it there (as I did twice), it's not a problem."
0.9990791,0,I eat here often and the lunch special is great!!  Food and service are equally good.  Fries are to die for.
0.99907744,0,"This my favorite Chipotle ever!!! It's so consistent and good! No hormones in the meat makes this ""fast"" food an A+ for me!!! Yum!!!"
0.9990451,0,"The ""Cheers"" of central Phoenix."
0.9990451,1,The steak was a triumph of overcooking.
